Code	Char	Issue	Correction
U+4E09	三	MITSU MITABI	MI MITSU MITTSU MITABI
U+4E2B	丫	HUTAMATA AGEMAKI	FUTAMATA AGEMAKI
U+4F74	佴	TASUKE SOHI NARABU ORU TSUGU	TASUKE SOI NARABU ORU TSUGU
U+4F7D	佽	SUBOSHIKOI NARABU TASUKERU OYOBI KAHARUGAHARU	SUBASHIKOI NARABU TASUKERU OYOBI KAWARUGAWARU
U+4F81	侁	YUKUSAMA TSUKAHI	YUKUSAMA TSUKAI
U+4F97	侗	OROKA ITAMU KATACHI NAHOI MAKOTO TSUTSUSHIMU	OROKA ITAMU KATACHI NAOI MAKOTO TSUTSUSHIMU
U+4F9A	侚	SUMIYAKA SHIMESU TONAERU HUKAI TSUKAHU	SUMIYAKA SHIMESU TONAERU FUKAI TSUKAU
U+4F9E	侞	HITOSHII SHITAGAHENARASU	HITOSHII SHITAGAENARASU
U+4FBB	侻	KANAHU YOI TEGARU TAYASUI KARUI	KANAU YOI TEGARU TAYASUI KARUI
U+4FD2	俒	MATSUTASHI KEGASU	MATTASHI KEGASU
U+4FD3	俓	ISOGU WAGI NAHOI KATAI	ISOGU WAGI NAOI KATAI
U+4FD9	俙	UTSUTAERU KOBIHETSURAU HONOKA	UTTAERU KOBIHETSURAU HONOKA
U+501E	倞	TSUYOI AKIRAKA TOOI MOTOMERU KISOHU	TSUYOI AKIRAKA TOOI MOTOMERU KISOU
U+5039	倹	TSUZUMAYAKA	TSUDZUMAYAKA
U+5052	偒	MATSUSUGU	MASSUGU
U+5053	偓	KAKAHARUSAMA	KAKAWARUSAMA
U+5057	偗	MATSUSUGUNASAMA	MASSUGUNASAMA
U+505E	偞	KARUI MIMEYOISAMA IYASHII OSU OSAHETSUKERU UTSUKUSHII	KARUI MIMEYOISAMA IYASHII OSU OSAETSUKERU UTSUKUSHII
U+505F	偟	TATAZUMU SAMAYOHU TACHIMOTOHORU ITOMA	TATAZUMU SAMAYOU TACHIMOTOORU ITOMA
U+5061	偡	SOROTSUTESUSUMU TOTONOTSUTASAMA	SOROTTESUSUMU TOTONOTTASAMA
U+5062	偢	ITSUKUSHIMANAI UREHERUSAMA	ITSUKUSHIMANAI UREERUSAMA
U+5082	傂	KATATAGAHI HITOSHIKUNAI	KATATAGAI HITOSHIKUNAI
U+508B	傋	HETSURAHANU OROKA	HETSURAWANU OROKA
U+508E	傎	SAKASAMA KURUHU	SAKASAMA KURUU
U+5092	傒	AYAHUI TSUNAGU	AYAUI TSUNAGU
U+50C6	僆	HUTAGO OYOBU OHITSUKU	FUTAGO OYOBU OHITSUKU
U+50D3	僓	NARAU MIYABIYAKA SHITAGAHU	NARAU MIYABIYAKA SHITAGAU
U+5107	儇	KASHIKOI AGIMUKU TOI MATOHU	KASHIKOI AGIMUKU TOI MATOU
U+5109	儉	TSUZUMAYAKA	TSUDZUMAYAKA
U+5131	儱	DESAAGARANAI UYAMUYA	DEKIAGARANAI UYAMUYA
U+5198	冘	OKOTARU TAMERAHU UTAGAHU	OKOTARU TAMERAU UTAGAU
U+5202	刂	RITSUTOU	RITTOU
U+5216	刖	KIRU AYAHUI	KIRU AYAUI
U+5226	刦	OIYAKASU	OBIYAKASU
U+5227	刧	OBYAKASU	OBIYAKASU
U+527D	剽	OBYAKASU	OBIYAKASU
U+528C	劌	SOKONAU SAKU HARI TOGE AHU	SOKONAU SAKU HARI TOGE AU
U+52BD	劽	GAARU	GARU
U+5393	厓	GAKE KISHI KATAHE HATE	GAKE KISHI KATAE HATE
U+53D5	叕	TSUZURU SUMIYAKA	TSUDZURU SUMIYAKA
U+540D	名	NA NANORU NAZUKERU	NA NANORU NADZUKERU
U+548D	咍	WARAHU YOROKOBU	WARAU YOROKOBU
U+5500	唀	SASOOU	SASOU
U+5509	唉	AA AAOO IYAIYAKOTAERU	AA AO IYAIYAKOTAERU
U+5530	唰	HANETSUKUROHU	HANETSUKUROU
U+553C	唼	KURAHU SUSURU TSUIBAMU HUMU	KURAU SUSURU TSUIBAMU FUMU
U+55A2	喢	OSHIYABERI	OSHABERI
U+55CD	嗍	SUHU	SUU
U+55D1	嗑	OSHIYABERI AHU NOMU KATARU	OSHABERI AU NOMU KATARU
U+55DE	嗞	NAGEKU WARAHU	NAGEKU WARAU
U+560D	嘍	URUSAISAAMA MIDARERU	URUSAISAMA MIDARERU
U+563B	嘻	IMASHIME YAHARAGU AA WARAHU	IMASHIME YAWARAGU AA WARAU
U+564A	噊	AYAHUI	AYAUI
U+56EB	囫	MATSUTASHI HATSUKIRISHINAI	MATTASHI HAKKIRISHINAI
U+5715	圕		TOSHOKAN
U+5717	圗	HAKARU EGAAKU E	HAKARU EGAKU E
U+5749	坉	HUSAGU KIZUKU UNE HUSAGARU	FUSAGU KIZUKU UNE FUSAGARU
U+5780	垀	KAMAHE WAZURAHAI	KAMAE WAZURAWAI
U+57A4	垤	ARIZUKA	ARIDZUKA
U+57CF	埏	HAKAMICHI NOBORU YAHARAGERUKONERU	HAKAMICHI NOBORU YAWARAGERU KONERU
U+57E4	埤	MASU ATAHERU TASUKERU HIKUIHIMEGAKI	MASU ATAERU TASUKERU HIKUIHIMEGAKI
U+57F6	埶	UERU WAZA IKIHOHI	UERU WAZA IKIOI
U+57F8	埸	SAKAHI AZE	SAKAI AZE
U+57FA	基	MOTOI MOTO MOTOZUKU	MOTOI MOTO MOTODZUKU
U+5825	堥	KAHARAKE	KAWARAKE
U+583B	堻	URUHOHI URUHOU	URUOI URUOU
U+587C	塼	KAHARA	KAWARA
U+5886	墆	TAKUHAHERU TAKUHAHE TOMERUTSUTSUMI	TAKUWAERU TAKUWAE TOMERUTSUTSUMI
U+5888	墈	SAKAHI	SAKAI
U+58A5	墥	ARIZUKA	ARIDZUKA
U+58FD	壽	KOTOBUKI HISASHII KOTOOGU	KOTOBUKI HISASHII KOTOHOGU
U+5936	夶	KURAABERU	KURABERU
U+5952	奒	TATEMATSUURU MATSURU	TATEMATSURU MATSURU
U+59AE	妮	HASHITAME YAHARAKAKUMATSUHARU	HASHITAME YAWARAKAKUMATSUWARU
U+59C5	姅	MIMOSAGAKIZUTSUKU	MIMOCHIGAKIZUTSUKU
U+5A19	娙	SURARITOSHITEMIMEYOI HASHITAAME	SURARITOSHITEMIMEYOI HASHITAME
U+5A2D	娭	TAHOMURERU HASHITAME	TAWAMURERU HASHITAME
U+5A5E	婞	MOTORU MATSUSUGU	MOTORU MASSUGU
U+5AB1	媱	MIMEYOI TAHAMURERU	MIMEYOI TAWAMURERU
U+5AB2	媲	TSUREAHI	TSUREAI
U+5AB5	媵	OKURU TSUKISOHI OKURIME OKURIBITO	OKURU TSUKISOI OKURIME OKURIBITO
U+5AD5	嫕	SHITOYAKA SUNAHO	SHITOYAKA SUNAO
U+5ADB	嫛	MIDORIGO SUNAHO	MIDORIGO SUNAO
U+5AE5	嫥	MOTSUPARA TOTONOHERU	MOPPARA TOTONOERU
U+5AEA	嫪	KOHISHITAHU NAYAMU	KOISHITAU NAYAMU
U+5B7C	孼	WAKIBARA HIKOBAE WAZAHAHI	WAKIBARA HIKOBAE WAZAWAI
