Code	Char	Issue	Correction
U+4EFE	仾	TEI HIKUI	TEI
U+4FA0	侠	KYOU	KYOU KYAN
U+4FE0	俠	KYOU	KYOU KYAN
U+501C	倜	TEKI CHAKU CHUU CHYU	TEKI CHAKU CHUU CHU
U+50E6	僦	SHYUU SHU	SHUU SHU
U+5282	劂	KETSU KUUCHI KEI KE	KETSU KUCHI KEI KE
U+5550	啐	SAI SE SA SHUTSU SHUCHI KATSUKACHI	SAI SE SA SHUTSU SHUCHI KATSU KACHI
U+5610	嘐	HAU HEU RAUROU BIU MIU	HOU HYOU ROU BYUU MYUU
U+5715	圕	TOSHOKAN SHO	SHO
U+5794	垔	SHYOU JU TOU ZU	SHOU JU TOU ZU
U+57F1	埱	SHYUU TOU TSU	SHUU TOU TSU
U+5864	塤	KEN TAWAN	KEN
U+61E4	懤	CHYUU JIU TAU TOU	CHUU JIU TAU TOU
U+639A	掚	RYOU KAZARU	RYOU
U+7243	牃	OUCHOU YOU SHOU JI	OU CHOU YOU SHOU JI
U+77C3	矃	GEI NYOU	GEI NEI NYOU
U+8353	荓	HEI	HEI BYOU
U+84A6	蒦	WAKU KUWAKU KYAKU KAKUYAKU	WAKU KYAKU KAKU YAKU
U+88DB	裛	YOUU OU YOU	YUU OU YOU
U+8A47	詇	YOU OUU EI	YOU OU EI
U+8B76	譶	TOU DOU CHYUU JU	TOU DOU CHUU JU
U+9194	醔	SHYUU JU	SHUU JU
U+9228	鈨	HABAKI	
U+93C5	鏅	SHYUU SHU	SHUU SHU
U+93C9	鏉	SHYUU SHU SOU SOKU	SHUU SHU SOU SOKU
U+942F	鐯	SHAKU CHAKU JIIYAKU	SHAKU CHAKU JAKU
U+9B2B	鬫	KAN KEN HOERU	KAN KEN
U+9B78	魸	NAMAZU	
U+9BBE	鮾	DAI NAI KUSARU	DAI NAI
