Code	Char	Issue	Correction
U+3861	㡡	CHU JIU	CHU JUU
U+4E48	么	EU	YOU
U+4E53	乓	HAU	HOU
U+4EFE	仾	TEI HIKUI	TEI
U+4F52	佒	AU YOU	OU YOU
U+4F6A	佪	KUWAI E	KAI E
U+4F80	侀	KEI KYAU	KEI KYOU
U+4FA0	侠	KYOU	KYOU KYAN
U+4FC7	俇	KYAU GAU KAU	KYOU GOU KOU
U+4FCF	俏	SEU	SHOU
U+4FD3	俓	GAU KYAU GEN GEI	GOU KYOU GEN GEI
U+4FE0	俠	KYOU	KYOU KYAN
U+500C	倌	KUWAN	KAN
U+501C	倜	TEKI CHAKU CHUU CHYU	TEKI CHAKU CHUU CHU
U+5057	偗	SEI SHAU	SEI SHOU
U+505B	偛	SOU SAHU	SOU
U+505F	偟	KUWAU WAU	KOU OU
U+5060	偠	EU	YOU
U+5062	偢	SEU	SHOU
U+506A	偪	HIYOKU HIKI FUKU	HYOKU HIKI FUKU
U+508B	傋	KAU KOU KU	KOU KU
U+5096	傖	SAU SHAU	SOU SHOU
U+509C	傜	EU	YOU
U+509D	傝	TAN TON TAHU	TAN TON TOU
U+509F	傟	AU	OU
U+50B8	傸	SAU SHAU	SOU SHOU
U+50C4	僄	HEU	HYOU
U+50D7	僗	RAU	ROU
U+50E6	僦	SHYUU SHU	SHUU SHU
U+50EC	僬	SEU ZEU	SHOU JOU
U+510C	儌	KEU	KYOU
U+511C	儜	DAU NYAU	DOU NYOU
U+5126	儦	HYOU HEU	HYOU
U+5198	冘	IN IU YU	IN YUU YU
U+51CA	凊	SEI SHAU	SEI SHOU
U+51D4	凔	SAU SHAU	SOU SHOU
U+5201	刁	TEU CHOU	CHOU
U+5202	刂	TAU	TOU
U+5260	剠	KEI SHAU RYAU	KEI SHOU RYOU
U+527C	剼	SAN SEU	SAN SHOU
U+5282	劂	KETSU KUUCHI KEI KE	KETSU KUCHI KEI KE
U+52D0	勐	BAU	BOU
U+52DC	勜	OU O AU	OU O
U+52E1	勡	HEU	HYOU
U+5361	卡	SAHU SA KA ZOU SOU	SOU SA KA ZOU
U+536C	卬	GAU KYAU	GOU KYOU
U+5392	厒	KAHU KOHU KEHU	KOU KYOU
U+53B9	厹	JIU NIYU KIU GU	JUU NYU KYUU GU
U+53E6	另	REI RYAU	REI RYOU
U+53F9	叹	IU	YUU
U+5466	呦	IU YU AU EU	YUU YU OU YOU
U+546B	呫	TEHU SEHU TEN	CHOU SHOU TEN
U+5489	咉	AU	OU
U+54B7	咷	TAU DOU TEU TEKI JIAKU	TOU DOU CHOU TEKI JAKU
U+5500	唀	IU	YUU
U+553C	唼	SAHU SEHU	SOU SHOU
U+554D	啍	TON DON SHUN TAI TE KYOU KAU	TON DON SHUN TAI TE KYOU KOU
U+5550	啐	SAI SE SA SHUTSU SHUCHI KATSUKACHI	SAI SE SA SHUTSU SHUCHI KATSU KACHI
U+5566	啦	RAHU ROU	ROU
U+5593	喓	EU	YOU
U+559F	喟	KI KUWAI KE	KI KAI KE
U+55A2	喢	TEHU SEHU SAHU	CHOU SHOU SOU
U+55C2	嗂	EU	YOU
U+55D1	嗑	KAHU	KOU
U+55D6	嗖	SHUHU SHIU SHIYU	SHUU SHU
U+55DB	嗛	KEN KAN GAN KEHU	KEN KAN GAN KYOU
U+5601	嘁	SAHU SHUKU	SOU SHUKU
U+5604	嘄	KEU	KYOU
U+5608	嘈	SAU SOU SEU ZEU	SOU SHOU JOU
U+560C	嘌	HEU	HYOU
U+5610	嘐	HAU HEU RAUROU BIU MIU	HOU HYOU ROU BYUU MYUU
U+5635	嘵	KEU GEU	KYOU GYOU
U+5639	嘹	REU RYOU	RYOU
U+564B	噋	TON KUWAKU	TON KAKU
U+564D	噍	SEU ZEU SHIU SHIYU SHAKU ZAKU	SHOU JOU SHUU SHU SHAKU ZAKU
U+5662	噢	IKU U KU IU	IKU U KU YUU
U+5665	噥	DOU NU DAU NYOU	DOU NU NYOU
U+5672	噲	KUWAI KE WAI E KATSU KACHI	KAI KE WAI E KATSU KACHI
U+568E	嚎	KAU GOU	KOU GOU
U+5698	嚘	IU U	YUU U
U+56B7	嚷	JAU	JOU
U+5715	圕	TOSHOKAN SHO	SHO
U+572B	圫	AU	OU
U+5733	圳	SHIU SHU SHIN SON SHUN	SHUU SHU SHIN SON SHUN
U+5767	坧	SEKI SHAU	SEKI SHOU
U+5771	坱	AU	OU
U+5773	坳	AU EU	OU YOU
U+5794	垔	SHYOU JU TOU ZU	SHOU JU TOU ZU
U+5797	垗	TEU DEU	CHOU DJOU
U+579A	垚	GEU	GYOU
U+57A5	垥	KEU KOU	KYOU KOU
U+57C2	埂	KAU KYOU	KOU KYOU
U+57DD	埝	TEN DEU NEU NEN	TEN DJOU NYOU NEN
U+57E9	埩	SAU SHOU	SOU SHOU
U+57F1	埱	SHYUU TOU TSU	SHUU TOU TSU
U+57F2	埲	HOU BO HAU BAU	HOU BO BOU
U+581B	堛	HIYOKU HIKI	HYOKU HIKI
U+581E	堞	TEU DEU	CHOU DJOU
U+5825	堥	BOU MU BAU MOU BU	BOU MU MOU BU
U+582D	堭	KAU WAU	KOU OU
U+585D	塝	HAU BAU	HOU BOU
U+5864	塤	KEN TAWAN	KEN
U+587D	塽	SAU SHOU	SOU SHOU
U+5882	墂	HYOU HEU	HYOU
U+588A	墊	TEN TEU DEU	TEN CHOU DJOU
U+588E	墎	KUWAKU	KAKU
U+588F	墏	SHOU SAU	SHOU SOU
U+58BD	墽	KAU KEU	KOU KYOU
U+58CE	壎	KEN KUWAN KUN	KEN KAN KUN
U+58D4	壔	TAU	TOU
U+5935	夵	EN TAU TOU	EN TOU
U+5961	奡	GAU GOU	GOU
U+59CE	姎	AU	OU
U+59D8	姘	HIN HAU HEI	HIN HOU HEI
U+59E3	姣	KOU KEU GEU	KOU KYOU GYOU
U+5A60	婠	WAN WATSU WACHI KAN KUWATSU GUWACHI	WAN WATSU WACHI KAN KATSU GACHI
U+5A95	媕	EN AN ON AU OU	EN AN ON OU
U+5AB0	媰	SHIU SU SHU JU	SHUU SU SHU JU
U+5AB1	媱	EU	YOU
U+5AB9	媹	RIU RU	RYUU RU
U+5AC7	嫇	BEI MYAU BAU	BEI MYOU BOU
U+5AC8	嫈	SEU AU GEI GYOU EI KEI	SHOU OU GEI GYOU EI KEI
U+5ACD	嫍	TAU TOU EU	TOU YOU
U+5ADC	嫜	SHAU	SHOU
U+5ADD	嫝	KAU	KOU
U+5ADF	嫟	JIYUKU NIKI	JUKU NIKI
U+5AEA	嫪	RAU ROU	ROU
U+5AF6	嫶	SEU ZEU	SHOU JOU
U+5AF9	嫹	BAU MEU	BOU MYOU
U+5AFD	嫽	REU RAU	RYOU ROU
U+5B05	嬅	KUWA GE	KA GE
U+5B07	嬇	KUWAI E KE	KAI E KE
U+5B08	嬈	DEU NEU ZEU DAU EU KEU	DJOU NYOU JOU DOU YOU KYOU
U+5B13	嬓	KEU	KYOU
U+5B23	嬣	TAU NYAU DEI	TOU NYOU DEI
U+5B26	嬦	CHIU JIYU SHIU	CHUU JU SHUU
U+5B2E	嬮	EN EHU	EN YOU
U+5B48	孈	SUI I KUWAI E KI KEI	SUI I KAI E KI KEI
U+5B8E	宎	EU YOU	YOU
U+5C0C	尌	SHU JU CHU JIU	SHU JU CHU JUU
U+5C1F	尟	SEN SEU	SEN SHOU
U+5C33	尳	KOTSU KUCHI KUWATSU GECHI	KOTSU KUCHI KATSU GECHI
U+5C5F	屟	TEI TAI SEHU	TEI TAI SHOU
U+5C67	屧	TEI TAI SEHU	TEI TAI SHOU
U+5C69	屩	KYAKU KAKU KIKU KOKU KEU	KYAKU KAKU KIKU KOKU KYOU
U+5C70	屰	GEKI GYAKU HAKU HIYAKU	GEKI GYAKU HAKU HYAKU
U+5C86	岆	EU	YOU
U+5C8F	岏	GUWAN	GAN
U+5CA7	岧	TEU DEU	CHOU DJOU
